Metric,Value
EER,0.40200000000026065
Threshold,0.49962245546232376
Accuracy,0.598
FAR Min,0.0
FAR Max,1.0
FAR Avg,0.4336566866267465
FRR Min,0.0
FRR Max,1.0
FRR Avg,0.4403433133732535
